City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Korla,CN,2021-12-02 00:44:36,41.7597,86.1469,21.63,73,1,2.42
68,Tabas,IR,2021-12-02 00:44:36,33.5959,56.9244,59.0,36,100,4.29
69,Lompoc,US,2021-12-02 00:44:37,34.6391,-120.4579,70.21,73,1,5.75
70,Cape Town,ZA,2021-12-02 00:44:38,-33.9258,18.4232,61.21,63,20,9.22
71,Punta Arenas,CL,2021-12-02 00:44:06,-53.15,-70.9167,51.91,50,0,13.8
72,Hithadhoo,MV,2021-12-02 00:44:38,-0.6,73.0833,81.57,76,91,6.62
73,Dzaoudzi,YT,2021-12-02 00:44:38,-12.7887,45.2699,78.69,78,75,3.44
74,Hami,CN,2021-12-02 00:44:40,42.8,93.45,24.55,63,0,4.43
75,Bandarbeyla,SO,2021-12-02 00:44:40,9.4942,50.8122,74.75,64,0,13.73
76,Changying,CN,2021-12-02 00:44:40,52.8733,123.3213,3.74,90,100,4.45
77,Khatanga,RU,2021-12-02 00:44:41,71.9667,102.5,-38.29,100,92,1.28
78,Beringovskiy,RU,2021-12-02 00:44:41,63.05,179.3167,1.98,88,56,12.95
79,Esperance,AU,2021-12-02 00:41:05,-33.8667,121.9,67.84,60,9,11.23
80,Alakurtti,RU,2021-12-02 00:44:41,66.9672,30.3491,23.63,94,100,8.14
81,Kavaratti,IN,2021-12-02 00:44:42,10.5669,72.642,81.84,79,49,12.73
82,Bengkulu,ID,2021-12-02 00:44:42,-3.8004,102.2655,77.86,77,35,3.62
83,Onesti,RO,2021-12-02 00:44:43,46.25,26.75,37.08,71,100,7.61
84,Namibe,AO,2021-12-02 00:44:43,-15.1961,12.1522,70.7,80,80,5.5
85,Albany,US,2021-12-02 00:42:15,42.6001,-73.9662,34.61,80,100,1.5
86,Altay,CN,2021-12-02 00:44:43,47.8667,88.1167,20.41,48,54,8.39
87,Macheng,CN,2021-12-02 00:40:02,31.1783,115.0319,45.48,31,0,2.21
88,La Ronge,CA,2021-12-02 00:44:44,55.1001,-105.2842,14.25,85,90,5.75
89,Cockburn Town,TC,2021-12-02 00:44:44,21.4612,-71.1419,80.65,73,3,16.08
90,Belaya Gora,RU,2021-12-02 00:44:45,68.5333,146.4167,-41.64,100,72,1.16
91,Ponta Do Sol,PT,2021-12-02 00:44:45,32.6667,-17.1,65.71,71,19,5.86
92,Fereydun Kenar,IR,2021-12-02 00:45:45,36.6864,52.5225,59.61,87,30,14.34
93,Hobart,AU,2021-12-02 00:45:46,-42.8794,147.3294,89.02,55,20,1.01
94,Katsuura,JP,2021-12-02 00:45:46,35.1333,140.3,57.18,39,0,10.71
95,Bredasdorp,ZA,2021-12-02 00:45:47,-34.5322,20.0403,59.72,71,100,10.49
96,Poum,NC,2021-12-02 00:45:47,-20.2333,164.0167,81.73,76,25,13.47
97,Shenjiamen,CN,2021-12-02 00:45:47,29.9576,122.298,48.9,57,6,12.73
98,New Amsterdam,GY,2021-12-02 00:45:48,6.25,-57.5167,74.88,96,95,4.56
99,Olafsvik,IS,2021-12-02 00:45:50,64.8945,-23.7142,33.84,97,100,30.2
100,Partizanskoye,RU,2021-12-02 00:45:51,55.5006,94.39,28.62,67,100,13.22
101,Mandan,US,2021-12-02 00:45:51,46.8267,-100.8896,55.38,60,90,1.99
102,Hilo,US,2021-12-02 00:45:52,19.7297,-155.09,77.25,86,20,0.0
103,Saint-Pierre,RE,2021-12-02 00:45:52,-21.3393,55.4781,73.08,65,75,5.75
104,Arraial Do Cabo,BR,2021-12-02 00:45:53,-22.9661,-42.0278,73.29,88,5,6.93
105,Byron Bay,AU,2021-12-02 00:45:54,-28.65,153.6167,79.88,73,82,13.67
106,Ishigaki,JP,2021-12-02 00:45:54,24.3448,124.1572,66.33,55,40,10.36
107,Iskateley,RU,2021-12-02 00:45:55,67.6803,53.1512,10.42,94,100,16.02
108,Uribia,CO,2021-12-02 00:45:55,11.7139,-72.266,79.52,77,15,11.3
109,San Quintin,MX,2021-12-02 00:45:56,30.4833,-115.95,63.46,74,0,4.65
110,Isangel,VU,2021-12-02 00:45:56,-19.55,169.2667,75.31,100,40,12.66
111,Bambous Virieux,MU,2021-12-02 00:45:57,-20.3428,57.7575,77.25,78,40,3.44
112,Walvis Bay,NA,2021-12-02 00:45:57,-22.9575,14.5053,59.09,82,0,5.75
113,Port-Gentil,GA,2021-12-02 00:45:58,-0.7193,8.7815,78.19,83,100,6.78
114,Shingu,JP,2021-12-02 00:46:00,33.7333,135.9833,47.39,48,0,3.09
115,Starovelichkovskaya,RU,2021-12-02 00:46:01,45.4288,38.7326,39.02,80,7,9.55
116,Butaritari,KI,2021-12-02 00:46:02,3.0707,172.7902,82.22,77,100,10.96
117,Vallenar,CL,2021-12-02 00:45:14,-28.5708,-70.7581,69.93,43,43,3.13
118,Krupina,SK,2021-12-02 00:46:03,48.3554,19.0647,41.83,99,100,6.22
119,Sao Filipe,CV,2021-12-02 00:46:05,14.8961,-24.4956,74.88,67,100,11.21
120,Biloela,AU,2021-12-02 00:46:05,-24.4167,150.5,86.18,51,21,2.91
121,Santarem,BR,2021-12-02 00:46:06,-2.4431,-54.7083,80.73,78,20,3.44
122,Gorontalo,ID,2021-12-02 00:46:07,0.5412,123.0595,84.33,69,98,2.19
123,Varna,BG,2021-12-02 00:44:42,43.2167,27.9167,43.45,93,0,1.14
124,Provideniya,RU,2021-12-02 00:46:07,64.3833,-173.3,0.36,50,40,6.71
125,Severo-Kurilsk,RU,2021-12-02 00:46:08,50.6789,156.125,40.53,89,100,19.44
126,Upernavik,GL,2021-12-02 00:46:09,72.7868,-56.1549,27.09,96,100,6.4
127,Meulaboh,ID,2021-12-02 00:46:09,4.1363,96.1285,76.78,86,27,5.21
128,Castro,BR,2021-12-02 00:46:09,-24.7911,-50.0119,62.82,96,32,8.46
129,Komsomolskiy,UZ,2021-12-02 00:46:10,40.4272,71.7189,35.02,69,9,4.61
130,Aklavik,CA,2021-12-02 00:46:10,68.2191,-135.0107,-16.6,76,90,8.05
131,Mahebourg,MU,2021-12-02 00:46:10,-20.4081,57.7,77.29,78,40,3.44
132,Nassau,US,2021-12-02 00:46:11,40.7507,-73.5829,47.88,61,1,0.0
133,Naze,JP,2021-12-02 00:46:11,28.3667,129.4833,56.32,65,100,13.27
134,Vostok,RU,2021-12-02 00:46:12,46.4856,135.8833,2.57,85,24,6.26
135,Warrnambool,AU,2021-12-02 00:46:12,-38.3833,142.4833,66.11,78,100,11.7
136,Lebu,CL,2021-12-02 00:46:12,-37.6167,-73.65,54.68,90,100,13.06
137,Klaksvik,FO,2021-12-02 00:47:13,62.2266,-6.589,34.72,60,99,27.81
138,Hambantota,LK,2021-12-02 00:47:13,6.1241,81.1185,73.74,100,0,2.3
139,Trincomalee,LK,2021-12-02 00:47:15,8.5711,81.2335,77.54,85,100,3.98
140,Nsanje,MW,2021-12-02 00:47:15,-16.92,35.262,74.98,90,19,4.09
141,Petropavlovsk-Kamchatskiy,RU,2021-12-02 00:47:16,53.0452,158.6483,43.39,100,90,31.32
142,Hobyo,SO,2021-12-02 00:47:16,5.3505,48.5268,78.69,67,100,14.85
143,Japura,ID,2021-12-02 00:47:17,-0.3167,102.35,79.18,85,64,1.79
144,Longyearbyen,SJ,2021-12-02 00:47:17,78.2186,15.6401,8.44,66,40,5.75
145,Tshikapa,CD,2021-12-02 00:47:18,-6.4167,20.8,68.43,97,100,1.41
146,Peace River,CA,2021-12-02 00:45:31,56.2501,-117.286,12.51,79,20,2.3
147,Port Augusta,AU,2021-12-02 00:47:18,-32.5,137.7667,93.7,50,0,15.88
148,Mount Gambier,AU,2021-12-02 00:47:19,-37.8333,140.7667,62.51,77,90,10.36
149,Murmansk,RU,2021-12-02 00:47:19,68.0,34.0,21.74,81,100,19.86
150,Puerto Ayora,EC,2021-12-02 00:47:19,-0.7393,-90.3518,69.57,86,52,9.75
151,Kuching,MY,2021-12-02 00:46:20,1.55,110.3333,79.02,89,20,2.3
152,Kavieng,PG,2021-12-02 00:47:20,-2.5744,150.7967,85.41,65,68,7.61
153,Husavik,IS,2021-12-02 00:47:20,66.0449,-17.3389,21.11,79,100,12.26
154,Coihueco,CL,2021-12-02 00:47:21,-36.6167,-71.8333,63.34,52,91,9.22
